No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
216,03/07/2025,2025,PT Ossiana Sakti Ekamaju,manufaktur produk karet dan jasa vulkanisi,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,
217,03/11/2025,2025,PT BANDUNG DAYA SENTOSA (PERSERODA),"perdagangan, agribisnis, dan industri",Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
218,29/12/2025,2025,PT Basirih Industrial,"industri pengolahan kayu, khususnya memproduksi kayu lapis (plywood),",Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
219,24/04/2025,2025,PT TATA BUMI RAYA,jasa penyewaan (rental) alat berat,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
220,26/02/2025,2025,PT GRIYATON INDONESIA,konstruksi dan kontraktor umum (general contractor),Surabaya,Infrastruktur,Bukan Tbk,,Undisclosed,,,
221,17/07/2025,2025,PT NUSA HALMAHERA MINERALS,penyediaan beton pracetak,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
222,17/09/2025,2025,PT PALM LESTARI MAKMUR,pertambangan emas,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
223,15/05/2025,2025,PT. Widjaja Putra Jaya,Konstruksi dan kontraktor kayu,Surabaya,Infrastruktur,Bukan Tbk,,Disclosed,,,Rp210.000.000
224,24/04/2025,2025,PT Sarana Cipta Unggul,Jasa konstruksi dan pengadaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
225,30/04/2025,2025,PT CAHAYA FROZEN RAYA,Distribusi produk makanan beku (frozen food),Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
226,25/09/2025,2025,PT INTI PRIMA RASA,Produksi dan distribusi makanan,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
227,09/01/2025,2025,PT. Wastra Indah,Manufaktur batik dan tekstil tradisional,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,
228,18/06/2025,2025,PT. GAMINDRA MITRAKESUMA,Jasa pertambangan dan alat berat,Medan,Energi,Bukan Tbk,,Undisclosed,,,
229,19/05/2025,2025,PT. KALPATARU SAWIT PLANTATION,Perkebunan kelapa sawit,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
230,23/07/2025,2025,PT Kertas Basuki Rachmat,Manufaktur dan produksi kertas,Surabaya,Perindustrian,Bukan Tbk,,Disclosed,,,Rp780.063.404.370
231,22/05/2025,2025,PT. YVE Habitat Limo,Pengembang properti perumahan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
232,27/10/2025,2025,PT SEI BALAI GREEN ENERGY,Energi terbarukan dan pengolahan makanan,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
233,25/04/2025,2025,PT.SENECA INDONESIA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
234,07/08/2025,2025,PT Pembangunan Perumahan Urban,Pengembangan dan konstruksi kawasan hunian perkotaan,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
235,02/06/2025,2025,CV. Surya Kencana Abadi,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
236,25/09/2025,2025,PT Adhi Karya (Persero) Tbk.,Konstruksi dan pembangunan infrastruktur (BUMN),Jakarta Pusat,Infrastruktur,Tbk,,Undisclosed,,,
237,27/03/2025,2025,PT Aja Mega Perkasa,Perdagangan umum dan jasa,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
238,14/10/2025,2025,PT Bahtera Niaga Indonesia,Jasa angkutan laut dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Disclosed,Rp364.393.500.000,,
239,19/03/2025,2025,PT CIPADANG JAYABAYA PUTRA UTAMA,Kontraktor konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
240,03/07/2025,2025,PT PARANTA ANUGERAH PRIMA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
241,02/10/2025,2025,PT. AGRO TUMBUH GEMILANG ABADI,Perkebunan dan agribisnis,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,
242,04/09/2025,2025,PT Semesta Energi Services,Jasa pengeboran dan layanan sektor energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
243,31/07/2025,2025,PT Fortunindo Artha Perkasa,Jasa keuangan dan investasi,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,
244,20/03/2025,2025,PT. MAJA AGUNG LATEXINDO,Manufaktur produk latex dan karet,Medan,Perindustrian,Bukan Tbk,,Disclosed,,,Rp290.023.650
245,08/04/2025,2025,PT.YVE Habitat Limo,Pengembang properti perumahan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
246,11/09/2025,2025,PT PABRIK KERTAS INDONESIA,Manufaktur dan produksi kertas,Surabaya,Perindustrian,Bukan Tbk,,Undisclosed,,,
247,16/09/2025,2025,PT MITRA MULTIDIMENSI SEJAHTERA,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
248,24/04/2025,2025,PT. FARSIENDO NICE COMM,Perdagangan umum dan komunikasi,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
249,03/01/2025,2025,PT Wijaya Karya Industri dan Konstruksi,Konstruksi industri dan manufaktur,Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
250,06/03/2025,2025,PT. KELOLA JASA ARTHA,Jasa keuangan dan pengelolaan aset,Jakarta Pusat,Keuangan,Bukan Tbk,,Disclosed,,,"285714285,7"
251,24/11/2025,2025,PT Umran Rubi Perkasa,Perdagangan umum dan konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
